title,franchise,win,timestamp
Best Games With Ridiculous Gameplay,,0,2025-09-14 15:00
Open-World Games With The Best Game Feel,Open-World,0,2025-08-24 03:30
"Best Seinen Manga Of All Time, Ranked",,1,2025-04-17 04:45
Solo Leveling: Will Beru Betray Jin-Woo?,Solo Leveling,1,2025-04-01 20:15
Possible EA Sports FC 26 Release Date Leaked Online,EA Sports FC 25,1,2025-06-07 03:46
One Piece: These Are The Hardest Devil Fruits To Master,One Piece,0,2025-09-05 12:32
Genshin Impact Leak Teases Version 5.7 Traveler's Tales Characters,Genshin Impact,1,2025-05-17 18:11
The Division 2's Upcoming DLC is Stuck Between a Rock and a Hard Place,Tom Clancy's The Division 2,1,2025-05-03 22:00
Zelda: Tears of the Kingdom's Most Mysterious NPCs Are a Game Concept In Themselves,The Legend of Zelda: Tears of the Kingdom,0,2025-07-26 13:04
"The Elder Scrolls 6 May Be Tempted to Bring Back Oblivion Remastered's 'Easy Mode' Spell, But It Shouldn't",The Elder Scrolls IV: Oblivion Remastered,1,2025-06-15 17:14
Movies To Watch If You Like 365 Days,,1,2025-05-12 01:15
Stellar Blade Teases Horror DLC,Stellar Blade,0,2025-09-20 10:27
8 One Piece Characters Who Lost Limbs,One Piece,1,2025-04-09 01:30
PSA: Don't Skip the Buggy in Dune Awakening,Dune: Awakening,1,2025-06-19 13:28
"Borderlands 4 Actually Feels Closer to BL1 Than BL2, And I Couldn't Be Happier",Borderlands 4,0,2025-09-16 17:58
August 9 Will Be A Big Day For One Piece Fans,One Piece,1,2025-08-07 09:59
Pokemon Legends: Z-A GameStop Exclusive Pre-Order Bonuses Revealed,Pokemon Legends: Z-A,1,2025-08-31 18:30
Pokemon TCG Pocket Players Have Chance to Get More Free Hourglasses,Pokemon Trading Card Game Pocket,0,2025-08-15 11:12
Stardew Valley’s Family Tree is a Ceiling It May Never Shatter,Stardew Valley,0,2025-09-09 13:29
"One Piece: The Yonko Are Strong, But Oda Reveals A Class Of Pirates Even More Overpowered",One Piece,1,2025-07-28 15:45
PS5 Releasing New System Update for September 2025,PlayStation 5,0,2025-09-16 11:17
Netflix Devil May Cry: 8 Biggest Changes From The Games,Devil May Cry,1,2025-04-04 18:00
The Sims 4: Why You Should Start Over In 2025,The Sims 4 ,0,2025-09-29 15:02
"My Hero Academia: 8 Best Elemental Quirks, Ranked",My Hero Academia,1,2025-04-27 03:47
New Call of Duty: Warzone Update Changes Ground Loot,Call of Duty: Warzone,1,2025-04-09 06:02
"Dragon Ball: Super Saiyan 3, And 5 Other Forms You Didn't Know Vegeta Had",Dragon Ball  ,1,2025-08-05 14:30
One Piece: 7 Devil Fruits As Strong As Imu's Demon Fruit,One Piece,0,2025-09-02 15:30
"One Piece Manga Officially Goes On Break, And Fans Are Worried About Oda's Health",One Piece,1,2025-08-21 18:30
Hollow Knight Silksong Officially Confirms Another Launch Platform,Hollow Knight: Silksong,1,2025-04-08 09:47
'I Intentionally Left These Out': Horikoshi Confirms He Created Detailed Stories for Previous One For All Users in My Hero Academia,My Hero Academia,0,2025-06-21 13:30
"11 Best Resident Evil Characters, Ranked",Resident Evil,1,2025-04-10 23:55
Helldivers 2 Xbox Recruits Must Make One S-Tier Warbond a Priority,Helldivers 2,1,2025-08-28 20:15
Oblivion Remastered Fan Spots an Extremely Rare NPC,The Elder Scrolls IV: Oblivion Remastered,1,2025-05-15 07:06
Pokemon TCG Pocket Might Have a Secret Anti-Meta Deck,Pokemon Trading Card Game Pocket,1,2025-06-09 04:32
Walmart Switch 2 Pre-Order Page Is Causing Some Confusion,Nintendo Switch 2,1,2025-04-26 17:40
Boruto: Kishimoto Has Already Revealed When Naruto Uzumaki Will Make a Comeback In The Story,Boruto,1,2025-04-26 15:45
5 Things Confirmed For Grand Theft Auto 6,Grand Theft Auto 6,1,2025-04-03 21:30
These Game Series Nail Boss Battles Better Than Anyone Else,,0,2025-09-11 20:30
"Free PS Plus Games for July 2025 Are Live Now, But There's a Problem",PlayStation Plus,1,2025-07-01 12:48
Oblivion Remastered Bug Can Potentially Ruin a Playthrough,The Elder Scrolls IV: Oblivion Remastered,0,2025-05-29 16:51
One Piece: How A Single Scene Completely Changed Garp's Reputation,One Piece,1,2025-08-11 09:30
New Kickstarter Game is Like an Anime Stardew Valley,Stardew Valley,1,2025-05-07 16:18
Pokemon GO Selling $100 Premier Access Add-On,Pokémon GO,1,2025-05-16 18:58
Genshin Impact Leaks Event Banners for Version 6.0,Genshin Impact,1,2025-07-30 15:54
Grand Theft Auto 6's New Leak Proves Fans Don't Have to Worry About One Thing,Grand Theft Auto 6,0,2025-09-11 11:52
One Piece: 8 Important Characters Who Haven’t Appeared In A Very Long Time,One Piece,0,2025-06-26 04:30
Pokemon: 10 Alternate Colored Pokemon In The Anime (That Are Not Shiny),Pokémon,1,2025-05-30 23:57
Zenless Zone Zero Reveals Limited Banners for Version 2.3,Zenless Zone Zero,0,2025-09-29 11:20
Games That Are Best Played With No HUD,,0,2025-09-29 20:30
Why Cyberpunk 2077 is a Perfect Role Model for Baldur's Gate 4,Baldur's Gate 3,0,2025-07-31 14:15
7 New & Upcoming Anime That Could Be Bigger Than My Hero Academia,My Hero Academia,0,2025-07-19 17:00
Solo Leveling Producer Has Big Plans For Season 3,Solo Leveling,0,2025-07-27 12:45
8 Best Open-World Games That Change Genres Mid-Game,Open-World,1,2025-04-29 10:30
Palworld 1.0 is Probably Just the Tip of the Iceberg,Palworld,0,2025-09-23 15:21
Some Switch 2 Consoles Are Reportedly Overheating,Nintendo Switch 2,0,2025-07-04 15:37
My Hero Academia: 7 Things Bakugo Can Do That Deku Can't,,1,2025-04-12 02:14
Oblivion Remastered Players Won't Regret Talking to These 6 NPCs,The Elder Scrolls IV: Oblivion Remastered,0,2025-05-25 13:00
"10 Best Short Horror Games to Play in One Sitting, Ranked",Horror,1,2025-06-26 06:30
Upcoming Turn-Based RPG Gets Discount Before Launch,Clair Obscur: Expedition 33,1,2025-04-20 15:48
The Epic Games Store Free Game For July 17 Has Hours of Content to Explore,Epic Games Store,0,2025-07-11 12:37
Diablo 4 Season 10 May Bite the Bullet It Has Long Dodged,Diablo 4,1,2025-08-13 15:41
Pokemon TCG Pocket's New Trading System Will Change the Game Forever,Pokemon Trading Card Game Pocket,0,2025-07-28 20:02
"Boruto: Naruto Will Finally Awaken A Forgotten Power, And Kishimoto Has Already Hinted At It",Boruto,1,2025-07-13 12:45
One Piece: Oda Reveals The 5 Most Legendary Pirates From The Old Era In The Story,One Piece,1,2025-06-09 15:46
One Diablo 4 Season 10 Class Gets the Short End of the Chaos Perk Stick,Diablo 4,1,2025-09-18 17:28
Pokemon Legends: Z-A Looks Set to Rewrite the Unwritten Rules of Mega Evolution,Pokemon Legends: Z-A,1,2025-06-21 15:16
